"DS2TCHL.Code.or.Value","DS2TCHL.Value.Description","DS2TCHL.Count","DS2TCHL.Cumulative","DS2TCHL.Skip.to.Item"
"0.005 to 500","Range of Values",359,359,NA
".","Missing",9185,9544,NA
