"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 11.299","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
