"URDFLOW2.Code.or.Value","URDFLOW2.Value.Description","URDFLOW2.Count","URDFLOW2.Cumulative","URDFLOW2.Skip.to.Item"
"0 to 76.667","Range of Values",1855,1855,NA
".","Missing",6436,8291,NA
