"WTSPO08.Code.or.Value","WTSPO08.Value.Description","WTSPO08.Count","WTSPO08.Cumulative","WTSPO08.Skip.to.Item"
"0.0000000 to 844412.0200500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
