"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.6 to 198.9","Range of Values",9445,9445,NA
".","Missing",99,9544,NA
