"CSQ090C.Code.or.Value","CSQ090C.Value.Description","CSQ090C.Count","CSQ090C.Cumulative","CSQ090C.Skip.to.Item"
"1","Better",210,210,NA
"2","Worse",155,365,NA
"3","No Change",3224,3589,NA
"7","Refused",2,3591,NA
"9","Don't know",12,3603,NA
".","Missing",0,3603,NA
