"OSD030ca.Code.or.Value","OSD030ca.Value.Description","OSD030ca.Count","OSD030ca.Cumulative","OSD030ca.Skip.to.Item"
"1 to 83","Range of Values",98,98,NA
"85","85 or older",0,98,NA
"77777","Refused",0,98,NA
"99999","Don't know",3,101,NA
".","Missing",4940,5041,NA
