"HUQ051.Code.or.Value","HUQ051.Value.Description","HUQ051.Count","HUQ051.Cumulative","HUQ051.Skip.to.Item"
"0","None",1287,1287,""
"1","1",2167,3454,"HUQ071"
"2","2 to 3",3206,6660,"HUQ071"
"3","4 to 5",1518,8178,"HUQ071"
"4","6 to 7",705,8883,"HUQ071"
"5","8 to 9",289,9172,"HUQ071"
"6","10 to 12",460,9632,"HUQ071"
"7","13 to 15",171,9803,"HUQ071"
"8","16 or more",361,10164,"HUQ071"
"77","Refused",0,10164,"HUQ071"
"99","Don't know",11,10175,"HUQ071"
".","Missing",0,10175,""
