"MPQ120s.Code.or.Value","MPQ120s.Value.Description","MPQ120s.Count","MPQ120s.Cumulative","MPQ120s.Skip.to.Item"
"28","Mid-leg - right",231,231,NA
".","Missing",5180,5411,NA
