"OHD03LAS.Code.or.Value","OHD03LAS.Value.Description","OHD03LAS.Count","OHD03LAS.Cumulative","OHD03LAS.Skip.to.Item"
"0 to 8","Range of Values",2326,2326,NA
"99","Calculation cannot be determined",476,2802,NA
".","Missing",4328,7130,NA
