"DXXGYFM.Code.or.Value","DXXGYFM.Value.Description","DXXGYFM.Count","DXXGYFM.Cumulative","DXXGYFM.Skip.to.Item"
"443.1 to 14227.3","Range of Values",5426,5426,NA
".","Missing",607,6033,NA
