"OPX1OS15.Code.or.Value","OPX1OS15.Value.Description","OPX1OS15.Count","OPX1OS15.Cumulative","OPX1OS15.Skip.to.Item"
"0","None",35,35,NA
"6","p >= 5% 1st presentation",2786,2821,NA
"7","p >= 5% 2nd presentation",213,3034,NA
"8","p < 5%",112,3146,NA
"9","p < 2%",57,3203,NA
"10","p < 1%",149,3352,NA
".","Missing",511,3863,NA
