"CIQDPB.Code.or.Value","CIQDPB.Value.Description","CIQDPB.Count","CIQDPB.Cumulative","CIQDPB.Skip.to.Item"
"1","Yes",0,0,"CIQDPD"
"2","No",60,60,""
"7","Refuse",0,60,""
"9","Don't know",0,60,""
".","Missing",718,778,""
