"HID030B.Code.or.Value","HID030B.Value.Description","HID030B.Count","HID030B.Cumulative","HID030B.Skip.to.Item"
"1","Yes",1483,1483,NA
"2","No",6742,8225,NA
"7","Refused",3,8228,NA
"9","Don't know",35,8263,NA
".","Missing",1859,10122,NA
