"DSQICALC.Code.or.Value","DSQICALC.Value.Description","DSQICALC.Count","DSQICALC.Cumulative","DSQICALC.Skip.to.Item"
"0.2 to 7584","Range of Values",3112,3112,NA
".","Missing",6872,9984,NA
