"URDTIME1.Code.or.Value","URDTIME1.Value.Description","URDTIME1.Count","URDTIME1.Cumulative","URDTIME1.Skip.to.Item"
"5 to 1335","Range of Values",7723,7723,NA
".","Missing",868,8591,NA
