"LBDBR6LC.Code.or.Value","LBDBR6LC.Value.Description","LBDBR6LC.Count","LBDBR6LC.Cumulative","LBDBR6LC.Skip.to.Item"
"0","At or above the detection limit",1918,1918,NA
"1","Below lower detection limit",122,2040,NA
".","Missing",297,2337,NA
