"BIDALPHA.Code.or.Value","BIDALPHA.Value.Description","BIDALPHA.Count","BIDALPHA.Cumulative","BIDALPHA.Skip.to.Item"
"0.302 to 1.1","Range of Values",4229,4229,NA
".","Missing",1100,5329,NA
