"SPQ010.Code.or.Value","SPQ010.Value.Description","SPQ010.Count","SPQ010.Cumulative","SPQ010.Skip.to.Item"
"1","Yes",7,7,"SPAENA"
"2","No",1850,1857,""
"7","Refused",0,1857,"SPAENA"
"9","Don't know",11,1868,"SPAENA"
".","Missing",6327,8195,""
