"HSQ493.Code.or.Value","HSQ493.Value.Description","HSQ493.Count","HSQ493.Cumulative","HSQ493.Skip.to.Item"
"0 to 30","Range of Values",6550,6550,NA
"77","Refused",0,6550,NA
"99","Don't know",2,6552,NA
".","Missing",3283,9835,NA
