"INQ140.Code.or.Value","INQ140.Value.Description","INQ140.Count","INQ140.Cumulative","INQ140.Skip.to.Item"
"1","Yes",2586,2586,NA
"2","No",7396,9982,NA
"7","Refused",40,10022,NA
"9","Don't know",33,10055,NA
".","Missing",94,10149,NA
