"URXUPT.Code.or.Value","URXUPT.Value.Description","URXUPT.Count","URXUPT.Cumulative","URXUPT.Skip.to.Item"
"0.01 to 1.7","Range of Values",2558,2558,NA
"-0.01","First Fill Value of Limit of Detection",0,2558,NA
"-0.05","Second Fill Value of Limit of Detection",0,2558,NA
".","Missing",115,2673,NA
