"SIAINTRP.Code.or.Value","SIAINTRP.Value.Description","SIAINTRP.Count","SIAINTRP.Cumulative","SIAINTRP.Skip.to.Item"
"1","Yes",457,457,NA
"2","No",9514,9971,NA
".","Missing",0,9971,NA
