"DXXLRA.Code.or.Value","DXXLRA.Value.Description","DXXLRA.Count","DXXLRA.Cumulative","DXXLRA.Skip.to.Item"
"44.77 to 203.85","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
