"WBXF071.Code.or.Value","WBXF071.Value.Description","WBXF071.Count","WBXF071.Cumulative","WBXF071.Skip.to.Item"
"2828.4271 to 2828.4271","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
