"VTQ280C.Code.or.Value","VTQ280C.Value.Description","VTQ280C.Count","VTQ280C.Cumulative","VTQ280C.Skip.to.Item"
"1","Yes",245,245,NA
"2","No",3088,3333,NA
"7","Refused",0,3333,NA
"9","Don't know",4,3337,NA
".","Missing",408,3745,NA
