"DS1IVB6.Code.or.Value","DS1IVB6.Value.Description","DS1IVB6.Count","DS1IVB6.Cumulative","DS1IVB6.Skip.to.Item"
"0.012 to 250","Range of Values",1653,1653,NA
".","Missing",4305,5958,NA
