"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"32.5 to 47.3","Range of Values",238,238,NA
".","Missing",10015,10253,NA
