"LBXMPAH.Code.or.Value","LBXMPAH.Value.Description","LBXMPAH.Count","LBXMPAH.Cumulative","LBXMPAH.Skip.to.Item"
"0.07 to 6.3","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
