"AUXU1K2R.Code.or.Value","AUXU1K2R.Value.Description","AUXU1K2R.Count","AUXU1K2R.Cumulative","AUXU1K2R.Skip.to.Item"
"-10 to 95","Range of Values",1766,1766,NA
"666","No response",0,1766,NA
"888","Could not obtain",2,1768,NA
".","Missing",121,1889,NA
