"URXMHBP.Code.or.Value","URXMHBP.Value.Description","URXMHBP.Count","URXMHBP.Cumulative","URXMHBP.Skip.to.Item"
"0.28 to 240.6","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
