"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",3049,3049,NA
"1","Below lower detection limit",12,3061,NA
".","Missing",218,3279,NA
