"DR2_030Z.Code.or.Value","DR2_030Z.Value.Description","DR2_030Z.Count","DR2_030Z.Cumulative","DR2_030Z.Skip.to.Item"
"1","Breakfast",20235,20235,NA
"2","Lunch",24523,44758,NA
"3","Dinner",23133,67891,NA
"4","Supper",4182,72073,NA
"5","Brunch",583,72656,NA
"6","Snack",18329,90985,NA
"7","Drink",6086,97071,NA
"8","Infant feeding",2582,99653,NA
"9","Extended consumption",2601,102254,NA
"10","Desayano",2169,104423,NA
"11","Almuerzo",1715,106138,NA
"12","Comida",1394,107532,NA
"13","Merienda",883,108415,NA
"14","Cena",2045,110460,NA
"15","Entre comida",245,110705,NA
"16","Botana",294,110999,NA
"17","Bocadillo",368,111367,NA
"18","Tentempie",44,111411,NA
"19","Bebida",690,112101,NA
"91","Other",0,112101,NA
"99","Don't know",0,112101,NA
".","Missing",0,112101,NA
