"MCQ240V.Code.or.Value","MCQ240V.Value.Description","MCQ240V.Count","MCQ240V.Cumulative","MCQ240V.Skip.to.Item"
"52 to 67","Range of Values",3,3,NA
"85","85 years or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",9819,9822,NA
