"AUXLR134.Code.or.Value","AUXLR134.Value.Description","AUXLR134.Count","AUXLR134.Cumulative","AUXLR134.Skip.to.Item"
"-92 to 53","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
