"DR1IVARA.Code.or.Value","DR1IVARA.Value.Description","DR1IVARA.Count","DR1IVARA.Cumulative","DR1IVARA.Skip.to.Item"
"0 to 15923","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
