"LBXSGTSI.Code.or.Value","LBXSGTSI.Value.Description","LBXSGTSI.Count","LBXSGTSI.Cumulative","LBXSGTSI.Skip.to.Item"
"3 to 2274","Range of Values",6491,6491,NA
".","Missing",499,6990,NA
