"SSGII3O2.Code.or.Value","SSGII3O2.Value.Description","SSGII3O2.Count","SSGII3O2.Cumulative","SSGII3O2.Skip.to.Item"
"0 to 3.5","Range of Values",939,939,NA
".","Missing",7,946,NA
