"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",520,520,NA
"2","Rarely",1429,1949,NA
"3","Occasionally",2887,4836,NA
"4","Very Often",3611,8447,NA
"9","Don't know",171,8618,NA
".","Missing",720,9338,NA
