"BIDRICF.Code.or.Value","BIDRICF.Value.Description","BIDRICF.Count","BIDRICF.Cumulative","BIDRICF.Skip.to.Item"
"231.8 to 3207.2","Range of Values",4606,4606,NA
".","Missing",1343,5949,NA
