"DXXL1BMD.Code.or.Value","DXXL1BMD.Value.Description","DXXL1BMD.Count","DXXL1BMD.Cumulative","DXXL1BMD.Skip.to.Item"
"0.317 to 1.606","Range of Values",6192,6192,NA
".","Missing",1528,7720,NA
