"URX4TDA.Code.or.Value","URX4TDA.Value.Description","URX4TDA.Count","URX4TDA.Cumulative","URX4TDA.Skip.to.Item"
"0.453 to 48.8","Range of Values",2595,2595,NA
".","Missing",684,3279,NA
