"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0 to 35.768","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
