"LBDTSH1S.Code.or.Value","LBDTSH1S.Value.Description","LBDTSH1S.Count","LBDTSH1S.Cumulative","LBDTSH1S.Skip.to.Item"
"0.002 to 280.76","Range of Values",6265,6265,NA
".","Missing",652,6917,NA
