"SMQ666K.Code.or.Value","SMQ666K.Value.Description","SMQ666K.Count","SMQ666K.Cumulative","SMQ666K.Skip.to.Item"
"1","Regulars",4,4,NA
"2","Lights",2,6,NA
"3","Ultralights",0,6,NA
"7","Refused",0,6,NA
"9","Don't know",0,6,NA
".","Missing",7139,7145,NA
