"CIQGPE.Code.or.Value","CIQGPE.Value.Description","CIQGPE.Count","CIQGPE.Cumulative","CIQGPE.Skip.to.Item"
"1","Yes",2,2,""
"2","No",17,19,"CIDGPRB"
"7","Refused",0,19,"CIDGPRB"
"9","Don't know",0,19,"CIDGPRB"
".","Missing",759,778,""
