"URXEQU.Code.or.Value","URXEQU.Value.Description","URXEQU.Count","URXEQU.Cumulative","URXEQU.Skip.to.Item"
"2.33 to 17200","Range of Values",2794,2794,NA
".","Missing",107,2901,NA
