"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"1.7 to 13.1","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
