"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"3293.928267 to 233755.84185","Range of Values",9971,9971,NA
".","Missing",0,9971,NA
