"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",8588,8588,NA
"2","Spanish",1560,10148,NA
".","Missing",1,10149,NA
