"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"18 to 1562","Range of Values",2990,2990,NA
".","Missing",249,3239,NA
