"DR2TVC.Code.or.Value","DR2TVC.Value.Description","DR2TVC.Count","DR2TVC.Cumulative","DR2TVC.Skip.to.Item"
"0 to 3257.8","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
