"DR1TPFAT.Code.or.Value","DR1TPFAT.Value.Description","DR1TPFAT.Count","DR1TPFAT.Cumulative","DR1TPFAT.Skip.to.Item"
"0 to 182.462","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
