"AUXU2KL.Code.or.Value","AUXU2KL.Value.Description","AUXU2KL.Count","AUXU2KL.Cumulative","AUXU2KL.Skip.to.Item"
"-10 to 120","Range of Values",2185,2185,NA
"666","No response",1,2186,NA
"888","Could not obtain",16,2202,NA
".","Missing",166,2368,NA
