"WBXP106.Code.or.Value","WBXP106.Value.Description","WBXP106.Count","WBXP106.Cumulative","WBXP106.Skip.to.Item"
"-159.3991 to 175.9518","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
