"DS1TSUGR.Code.or.Value","DS1TSUGR.Value.Description","DS1TSUGR.Count","DS1TSUGR.Cumulative","DS1TSUGR.Skip.to.Item"
"0.25 to 30","Range of Values",720,720,NA
".","Missing",9093,9813,NA
