"DR1TFDFE.Code.or.Value","DR1TFDFE.Value.Description","DR1TFDFE.Count","DR1TFDFE.Cumulative","DR1TFDFE.Skip.to.Item"
"2 to 4091","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
