"BIXC018K.Code.or.Value","BIXC018K.Value.Description","BIXC018K.Count","BIXC018K.Cumulative","BIXC018K.Skip.to.Item"
"22.69 to 322.55","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
