"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4792,4792,NA
"1","afternoon",3503,8295,NA
"2","evening",1633,9928,NA
".","Missing",1,9929,NA
