"URDBSMLC.Code.or.Value","URDBSMLC.Value.Description","URDBSMLC.Count","URDBSMLC.Cumulative","URDBSMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2355,2355,NA
".","Missing",257,2612,NA
