"LBDPFSAL.Code.or.Value","LBDPFSAL.Value.Description","LBDPFSAL.Count","LBDPFSAL.Cumulative","LBDPFSAL.Skip.to.Item"
"0","At or above the detection limit",3,3,NA
"1","Below lower detection limit",2230,2233,NA
".","Missing",199,2432,NA
