"LBXBFOA.Code.or.Value","LBXBFOA.Value.Description","LBXBFOA.Count","LBXBFOA.Cumulative","LBXBFOA.Skip.to.Item"
"0.07 to 0.5","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
