"DS2IKCAL.Code.or.Value","DS2IKCAL.Value.Description","DS2IKCAL.Count","DS2IKCAL.Cumulative","DS2IKCAL.Skip.to.Item"
"0.5 to 420","Range of Values",1317,1317,NA
".","Missing",4459,5776,NA
