"DR1IM161.Code.or.Value","DR1IM161.Value.Description","DR1IM161.Count","DR1IM161.Cumulative","DR1IM161.Skip.to.Item"
"0 to 6.666","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
